,EPS in Rs,OPM %,Net Profit,Profit before tax,Sales,Revenue,Expenses,Other Income,Interest,Depreciation,Financing Profit,Financing Margin %,Closing Price (T),Closing Price (T+1),Closing Price (T+2),Closing Price (T+3),3-Day Avg Price Post Result,3-Day Return (%)
EPS in Rs,1.0,-0.021093151028563628,0.4780913550476743,0.4726163900003069,0.30447885559241544,0.4613943626277191,0.32769755775106874,0.3747673879698184,-0.00911951059541762,0.06019476754900054,-0.20868309298813353,-0.21023557639178497,0.6786763299021663,0.6792472717793167,0.6788984549371475,0.6785264618694935,0.6788426446183026,0.005594165717457807
OPM %,-0.021093151028563628,1.0,0.23698246918418786,0.2297793224654813,-0.09574408827374571,,-0.15417371155948295,-0.026021606430002737,-0.22463117475476432,0.0045721946529537925,,,0.002993679440281525,0.001859730348889616,0.001027880810580195,0.0009342011040449154,0.0013300390308030223,-0.07348757709204505
Net Profit,0.4780913550476743,0.23698246918418786,1.0,0.9973750532023254,0.8729414367805867,0.9472114613961707,0.812918106546734,0.7068573015959337,0.5093618989540014,0.23718557065556808,-0.4630310250938223,-0.38728696059149936,0.13078262071396107,0.12785828476617656,0.12537139099553718,0.12563973296835854,0.1261112659743363,-0.08941081494331067
Profit before tax,0.4726163900003069,0.2297793224654813,0.9973750532023254,1.0,0.8818926262391781,0.9471069549970778,0.8204534347632646,0.7039448447469994,0.5162489203286694,0.24346388728843743,-0.4598205421233777,-0.38231834988027763,0.13518457899309946,0.13253862092753743,0.13011092212916398,0.13040583333076897,0.13083284271190163,-0.08206042103247307
Sales,0.30447885559241544,-0.09574408827374571,0.8729414367805867,0.8818926262391781,1.0,,0.997100320567136,0.730581301347626,0.636228445973218,0.8757197657514165,,,0.036622854993248154,0.033830370724672126,0.032202607550893395,0.03290675059800098,0.03271617073387411,-0.07080194551009268
Revenue,0.4613943626277191,,0.9472114613961707,0.9471069549970778,,1.0,0.9375833595588126,0.8185790482266273,0.9693235674346357,-0.29386372065681193,-0.4417698518285879,-0.3920773729858146,0.38396349413298564,0.3868557898365029,0.39240809842796986,0.3898904524269808,0.3887290383491436,0.08981902444557553
Expenses,0.32769755775106874,-0.15417371155948295,0.812918106546734,0.8204534347632646,0.997100320567136,0.9375833595588126,1.0,0.7152858608260028,0.5207210484176287,0.45502943134422363,-0.6444785793275285,-0.6507814301959579,0.06273470250779861,0.06020243785590669,0.05879585511073545,0.05951542767280172,0.05929262984265858,-0.05007557172689582
Other Income,0.3747673879698184,-0.026021606430002737,0.7068573015959337,0.7039448447469994,0.730581301347626,0.8185790482266273,0.7152858608260028,1.0,0.4283765863199511,0.05945016770499997,-0.7695000144696724,-0.7777707022122096,-0.028233726869489374,-0.03018515571249657,-0.03172627705803381,-0.029858968439983043,-0.030870396005058923,-0.058331730336433796
Interest,-0.00911951059541762,-0.22463117475476432,0.5093618989540014,0.5162489203286694,0.636228445973218,0.9693235674346357,0.5207210484176287,0.4283765863199511,1.0,-0.06461419659097746,-0.44037030654068354,-0.37011720993925445,-0.28551095470105914,-0.28829454214710226,-0.2902678236541951,-0.2894193034044803,-0.28933221092550343,-0.0770301115292388
Depreciation,0.06019476754900054,0.0045721946529537925,0.23718557065556808,0.24346388728843743,0.8757197657514165,-0.29386372065681193,0.45502943134422363,0.05945016770499997,-0.06461419659097746,1.0,0.5676601731581244,0.7086064226610825,0.11959051011812821,0.1187068078777067,0.11889008812168031,0.11900880314903642,0.11866132448035573,0.00357229507620058
Financing Profit,-0.20868309298813353,,-0.4630310250938223,-0.4598205421233777,,-0.4417698518285879,-0.6444785793275285,-0.7695000144696724,-0.44037030654068354,0.5676601731581244,1.0,0.8907409316806464,0.07335294007507037,0.07219152164597431,0.06584118539656196,0.06562763426605076,0.06689020849381001,-0.0865430186185432
Financing Margin %,-0.21023557639178497,,-0.38728696059149936,-0.38231834988027763,,-0.3920773729858146,-0.6507814301959579,-0.7777707022122096,-0.37011720993925445,0.7086064226610825,0.8907409316806464,1.0,-0.04364951693939649,-0.04140089410401932,-0.04901623010649667,-0.05165086652861359,-0.04817674424795586,-0.03306618461828689
Closing Price (T),0.6786763299021663,0.002993679440281525,0.13078262071396107,0.13518457899309946,0.036622854993248154,0.38396349413298564,0.06273470250779861,-0.028233726869489374,-0.28551095470105914,0.11959051011812821,0.07335294007507037,-0.04364951693939649,1.0,0.999147171821224,0.9988195722574252,0.9987125715091415,0.9989659753925018,-0.044905597747622594
Closing Price (T+1),0.6792472717793167,0.001859730348889616,0.12785828476617656,0.13253862092753743,0.033830370724672126,0.3868557898365029,0.06020243785590669,-0.03018515571249657,-0.28829454214710226,0.1187068078777067,0.07219152164597431,-0.04140089410401932,0.999147171821224,1.0,0.9997443066893056,0.9996349562387298,0.9998745030277726,-0.0122892694868596
Closing Price (T+2),0.6788984549371475,0.001027880810580195,0.12537139099553718,0.13011092212916398,0.032202607550893395,0.39240809842796986,0.05879585511073545,-0.03172627705803381,-0.2902678236541951,0.11889008812168031,0.06584118539656196,-0.04901623010649667,0.9988195722574252,0.9997443066893056,1.0,0.9998455537695654,0.9999338173652694,-0.004950407957896272
Closing Price (T+3),0.6785264618694935,0.0009342011040449154,0.12563973296835854,0.13040583333076897,0.03290675059800098,0.3898904524269808,0.05951542767280172,-0.029858968439983043,-0.2894193034044803,0.11900880314903642,0.06562763426605076,-0.05165086652861359,0.9987125715091415,0.9996349562387298,0.9998455537695654,1.0,0.9998914930163315,-0.003799318663922174
3-Day Avg Price Post Result,0.6788426446183026,0.0013300390308030223,0.1261112659743363,0.13083284271190163,0.03271617073387411,0.3887290383491436,0.05929262984265858,-0.030870396005058923,-0.28933221092550343,0.11866132448035573,0.06689020849381001,-0.04817674424795586,0.9989659753925018,0.9998745030277726,0.9999338173652694,0.9998914930163315,1.0,-0.007035345755424939
3-Day Return (%),0.005594165717457807,-0.07348757709204505,-0.08941081494331067,-0.08206042103247307,-0.07080194551009268,0.08981902444557553,-0.05007557172689582,-0.058331730336433796,-0.0770301115292388,0.00357229507620058,-0.0865430186185432,-0.03306618461828689,-0.044905597747622594,-0.0122892694868596,-0.004950407957896272,-0.003799318663922174,-0.007035345755424939,1.0
