Company,Ticker,Sector,Cap Category,Period,Result Date,"Movement Label (1,0)",value,z,z_robust
Bosch India,BOSCHLTD,Auto,Small,Jun 2025,2025-08-04,0.0,378.18,10.72142189523577,29.629358173076923
Bosch India,BOSCHLTD,Auto,Small,Sep 2023,2023-11-09,0.0,338.68,9.537681988900125,26.427104567307694
Bosch India,BOSCHLTD,Auto,Small,Mar 2024,2025-05-24,0.0,191.4,5.123980383707378,14.487157451923077
Bosch India,BOSCHLTD,Auto,Small,Mar 2025,2025-05-27,0.0,187.74,5.01429714175324,14.19044230769231
Bosch India,BOSCHLTD,Auto,Small,Sep 2024,2024-11-12,1.0,181.7,4.833289824430017,13.700781249999999
Bosch India,BOSCHLTD,Auto,Small,Dec 2023,2024-02-13,1.0,175.67,4.652582188095741,13.211930889423076
Bosch India,BOSCHLTD,Auto,Small,Jun 2024,2024-08-06,0.0,157.83,4.117951303816555,11.765647235576925
Bosch India,BOSCHLTD,Auto,Small,Dec 2024,2025-01-28,0.0,155.36,4.04393009954696,11.565405048076924
Bosch India,BOSCHLTD,Auto,Small,Jun 2023,2023-07-31,0.0,138.67,3.543762528996531,10.212351562499999
Bosch India,BOSCHLTD,Auto,Small,Mar 2023,2023-05-10,0.0,135.28,3.442170673743928,9.937525240384616
Bosch India,BOSCHLTD,Auto,Small,Sep 2022,2022-11-08,1.0,126.26,3.171858421714877,9.206276442307692
Maruti Suzuki,MARUTI,Auto,Large,Mar 2024,2024-04-26,0.0,125.71,3.1553759673228616,9.161688100961536
Maruti Suzuki,MARUTI,Auto,Large,Sep 2023,2023-10-27,0.0,125.34,3.14428777073187,9.131692307692306
Maruti Suzuki,MARUTI,Auto,Large,Mar 2025,2025-04-25,1.0,124.4,3.1161177577709713,9.055486778846154
Maruti Suzuki,MARUTI,Auto,Large,Jun 2025,2025-07-31,0.0,120.62,3.0028383439494846,8.74904326923077
Maruti Suzuki,MARUTI,Auto,Large,Jun 2024,2024-07-31,0.0,119.58,2.9716715210991276,8.664730769230768
Maruti Suzuki,MARUTI,Auto,Large,Dec 2024,2025-01-29,1.0,118.54,2.9405046982487715,8.58041826923077
Bosch India,BOSCHLTD,Auto,Small,Jun 2022,2022-08-02,0.0,113.31,2.783771541030154,8.156423677884616
Bosch India,BOSCHLTD,Auto,Small,Dec 2022,2023-02-14,1.0,108.13,2.6285367887562643,7.736482572115383
Maruti Suzuki,MARUTI,Auto,Large,Dec 2023,2024-01-31,1.0,102.0,2.4448323425325307,7.239525240384615
Maruti Suzuki,MARUTI,Auto,Large,Sep 2024,2024-10-29,0.0,98.68,2.3453382542025474,6.970373798076923
Maruti Suzuki,MARUTI,Auto,Large,Mar 2023,2023-04-26,1.0,88.97,2.054348013936241,6.183186899038461
Hero MotoCorp,HEROMOTOCO,Auto,Mid,Jun 2025,2025-08-06,1.0,85.26,1.943166367037374,5.88241826923077
