feature,point_biserial_r,p_value,n
3-Day Return (%),0.7646264083021723,3.915381525261673e-113,584
OPM %,-0.09301399750659364,0.044535040499524975,467
Net Profit,-0.07991029696944367,0.05359822594317936,584
Profit before tax,-0.07888736400631487,0.05674305200766449,584
Financing Margin %,0.07490726349653434,0.4221624998502834,117
Interest,-0.0650942969404668,0.11609642874959988,584
Revenue,-0.06304191584680056,0.49951481444482404,117
Other Income,-0.050945913544955125,0.21895026681776641,584
Closing Price (T),-0.040347476170849904,0.330380299005257,584
Depreciation,0.036337272263487125,0.38073765618983374,584
EPS in Rs,-0.03457539342858506,0.4042746011003889,584
Closing Price (T+1),-0.0253383252734322,0.5411237861100154,584
3-Day Avg Price Post Result,-0.02173014576789116,0.6002302180715603,584
Closing Price (T+2),-0.020848170225673833,0.6151091091223914,584
Closing Price (T+3),-0.018980567105751057,0.6471359257598728,584
Expenses,-0.015120695105767494,0.7153756275385218,584
Financing Profit,-0.013489780196098124,0.8852207715449975,117
Sales,-0.0012043987039722082,0.9792912104408332,467
