feature,spearman_r,n
Revenue,0.08981902444557553,117
Net Profit,-0.08941081494331067,584
Financing Profit,-0.0865430186185432,117
Profit before tax,-0.08206042103247307,584
Interest,-0.0770301115292388,584
OPM %,-0.07348757709204505,467
Sales,-0.07080194551009268,467
Other Income,-0.058331730336433796,584
Expenses,-0.05007557172689582,584
Closing Price (T),-0.044905597747622594,584
Financing Margin %,-0.03306618461828689,117
Closing Price (T+1),-0.0122892694868596,584
3-Day Avg Price Post Result,-0.007035345755424939,584
EPS in Rs,0.005594165717457807,584
Closing Price (T+2),-0.004950407957896272,584
Closing Price (T+3),-0.003799318663922174,584
Depreciation,0.00357229507620058,584
