Company,Ticker,Sector,Cap Category,Period,Result Date,"Movement Label (1,0)",value,z,z_robust
Emami,EMAMILTD,FMCG,Small,Mar 2024,2024-05-29,1.0,19.08,4.390916702381924,4.958557281553397
Zensar Tech,ZENSARTECH,IT / Technology,Small,Mar 2023,2023-05-11,1.0,15.53,3.56118229514975,4.0286640776699025
IDFC First Bank,IDFCFIRSTB,BFSI,Small,Jun 2022,2022-07-30,1.0,14.07,3.2199394121753913,3.646229126213592
LIC Housing Finance,LICHSGFIN,BFSI,Small,Jun 2024,2024-02-08,0.0,-12.01,-2.8756868809556213,-3.1852116504854364
Bajaj Finance,BAJFINANCE,BFSI,Mid,Jun 2022,2022-07-27,1.0,12.29,2.803903568549118,3.1799728155339797
Bajaj Auto Ltd,BAJAJ AUTO,Auto,Small,2024-09-01 00:00:00,2024-10-16,0.0,-11.96,-2.8640004808537602,-3.1721145631067964
AU Small Finance Bank,AUBANK,BFSI,Small,Dec 2023,2024-01-25,0.0,-11.08,-2.658319839060996,-2.941605825242718
Glenmark,GLENMARK,Pharma,Small,Mar 2024,2024-05-24,1.0,11.33,2.5795246865933756,2.9285087378640773
Coforge,COFORGE,IT / Technology,Small,Mar 2024,2024-05-02,0.0,-10.98,-2.6349470388572724,-2.915411650485437
HDFC Bank,HDFCBANK,BFSI,Large,Dec 2023,2024-01-16,0.0,-10.78,-2.588201438449826,-2.8630233009708737
Lupin,LUPIN,Pharma,Mid,Dec 2022,2023-02-09,0.0,-10.66,-2.560154078205358,-2.831590291262136
Persistent Systems,PERSISTENT,IT / Technology,Small,Dec 2022,2023-01-18,1.0,10.91,2.4813589257377378,2.8184932038834947
Marico,MARICO,FMCG,Mid,Mar 2024,2024-05-06,1.0,10.66,2.42292692522843,2.753007766990291
Zensar Tech,ZENSARTECH,IT / Technology,Small,Dec 2024,2025-01-22,1.0,10.48,2.3808558848617283,2.705858252427184
Ashok Leyland,ASHOKLEY,Auto,Small,Mar 2022,2022-05-19,1.0,10.48,2.3808558848617283,2.705858252427184
LTIMindtree,LTIM,IT / Technology,Mid,Dec 2023,2024-01-17,0.0,-10.17,-2.4456273572071145,-2.7032388349514562
Persistent Systems,PERSISTENT,IT / Technology,Small,Sep 2024,2024-10-22,1.0,10.38,2.3574830846580053,2.6796640776699028
Infosys,INFY,IT / Technology,Large,Mar 2023,2023-04-13,0.0,-10.02,-2.4105681569015296,-2.6639475728155335
Wipro,WIPRO,IT / Technology,Mid,Jun 2024,2024-07-19,0.0,-9.89,-2.3801835166366896,-2.629895145631068
Persistent Systems,PERSISTENT,IT / Technology,Small,Mar 2024,2024-04-21,0.0,-9.87,-2.3755089565959446,-2.6246563106796112
