Company,Ticker,Sector,Cap Category,Period,Result Date,"Movement Label (1,0)",value,z,z_robust
SBI,SBIN,BFSI,Large,Mar 2024,2024-05-09,0.0,22203.0,4.568390984218961,21.902199236641223
SBI,SBIN,BFSI,Large,Jun 2025,2025-08-08,1.0,22121.0,4.549125071844201,21.817758015267174
SBI,SBIN,BFSI,Large,Sep 2024,2024-11-08,0.0,20565.0,4.183542637025577,20.21543435114504
SBI,SBIN,BFSI,Large,Mar 2025,2025-05-03,0.0,20379.0,4.139841908955999,20.023896946564886
SBI,SBIN,BFSI,Large,Jun 2024,2024-08-03,0.0,20094.0,4.072881115946162,19.730412213740458
ITC,ITC,FMCG,Large,Mar 2025,2025-05-22,1.0,19808.0,4.005685372785412,19.435897709923662
SBI,SBIN,BFSI,Large,Dec 2024,2025-02-06,0.0,19484.0,3.9295615238900172,19.102251908396948
HDFC Bank,HDFCBANK,BFSI,Large,Mar 2025,2025-04-19,1.0,19285.0,3.8828064438585868,18.89732748091603
SBI,SBIN,BFSI,Large,Jun 2023,2023-08-04,0.0,19094.0,3.8379309650344497,18.700641221374045
SBI,SBIN,BFSI,Large,Mar 2023,2023-05-18,0.0,18769.0,3.7615721659881434,18.365965648854964
HDFC Bank,HDFCBANK,BFSI,Large,Sep 2024,2024-10-19,1.0,18627.0,3.7282092445586805,18.21973816793893
HDFC Bank,HDFCBANK,BFSI,Large,Dec 2024,2025-01-22,0.0,18340.0,3.6607785512470192,17.92419389312977
HDFC Bank,HDFCBANK,BFSI,Large,Mar 2024,2024-04-20,0.0,18013.0,3.5839498518988893,17.587458778625955
HDFC Bank,HDFCBANK,BFSI,Large,Dec 2023,2024-01-16,0.0,17718.0,3.5146395573799345,17.28367633587786
Tata Motors,TATAMOTORS,Auto,Large,Mar 2024,2024-05-10,0.0,17528.0,3.469999028706709,17.088019847328244
HDFC Bank,HDFCBANK,BFSI,Large,Sep 2023,2023-10-16,0.0,17312.0,3.4192497961097796,16.865589312977097
HDFC Bank,HDFCBANK,BFSI,Large,Jun 2024,2024-07-20,0.0,17188.0,3.3901159773967273,16.737897709923665
HDFC Bank,HDFCBANK,BFSI,Large,Jun 2025,2025-07-19,1.0,17090.0,3.3670908626073794,16.636980152671754
SBI,SBIN,BFSI,Large,Sep 2023,2023-11-04,0.0,16648.0,3.263242895904403,16.1818213740458
SBI,SBIN,BFSI,Large,Dec 2022,2023-02-03,0.0,15888.0,3.084680781211502,15.399195419847327
SBI,SBIN,BFSI,Large,Sep 2022,2022-11-05,1.0,15297.0,2.9458252420226803,14.790600763358777
ICICI Bank,ICICIBANK,BFSI,Large,Jun 2025,2025-07-19,1.0,14456.0,2.748232165105931,13.924563358778625
ICICI Bank,ICICIBANK,BFSI,Large,Mar 2025,2025-04-19,0.0,14354.0,2.7242672497129363,13.81952671755725
ICICI Bank,ICICIBANK,BFSI,Large,Sep 2024,2024-10-26,1.0,13906.0,2.619009582104489,13.358189312977098
ICICI Bank,ICICIBANK,BFSI,Large,Dec 2024,2025-01-25,1.0,13847.0,2.6051475232006984,13.29743282442748
Tata Consultancy Services,TCS,IT / Technology,Large,Jun 2025,2025-07-10,0.0,12819.0,2.363618768063459,12.238828244274808
HDFC Bank,HDFCBANK,BFSI,Large,Dec 2022,2023-01-14,0.0,12735.0,2.343882955386875,12.15232748091603
HDFC Bank,HDFCBANK,BFSI,Large,Mar 2023,2023-04-15,0.0,12634.0,2.320152990144792,12.048320610687023
Tata Consultancy Services,TCS,IT / Technology,Large,Mar 2024,2024-04-12,0.0,12502.0,2.2891395702244464,11.912390839694657
ICICI Bank,ICICIBANK,BFSI,Large,Jun 2024,2024-07-27,0.0,12463.0,2.2799765143388893,11.872229770992366
Tata Consultancy Services,TCS,IT / Technology,Large,Dec 2024,2025-01-09,1.0,12444.0,2.2755124614715667,11.852664122137405
HDFC Bank,HDFCBANK,BFSI,Large,Jun 2023,2023-07-17,0.0,12403.0,2.265879505284187,11.810443511450382
Tata Consultancy Services,TCS,IT / Technology,Large,Mar 2025,2025-04-10,0.0,12293.0,2.2400349886838984,11.697168702290076
ICICI Bank,ICICIBANK,BFSI,Large,Mar 2024,2024-04-27,1.0,12200.0,2.2181846246491093,11.6014
Tata Consultancy Services,TCS,IT / Technology,Large,Jun 2024,2024-07-11,1.0,12105.0,2.1958643603124965,11.503571755725192
Tata Consultancy Services,TCS,IT / Technology,Large,Sep 2024,2024-10-10,0.0,11955.0,2.16062183767574,11.349106106870229
