feature,mutual_info
3-Day Return (%),0.6761504834622363
Sales,0.02692447868767789
Financing Margin %,0.022721840914435854
Depreciation,0.01809870240004363
Other Income,0.00791389031781975
Expenses,0.007482650161347637
Closing Price (T+3),0.006939276351905388
Financing Profit,0.0061331142871818844
3-Day Avg Price Post Result,0.006059007206376421
Closing Price (T),0.0026878699386838623
Revenue,0.0023249226075658935
Profit before tax,0.0
Interest,0.0
OPM %,0.0
Net Profit,0.0
Closing Price (T+1),0.0
Closing Price (T+2),0.0
EPS in Rs,0.0
