Company,Ticker,Sector,Cap Category,Period,Result Date,"Movement Label (1,0)",value,z,z_robust
SBI,SBIN,BFSI,Large,Mar 2025,2025-05-03,0.0,126997.0,4.444657730756794,15.159237766861892
SBI,SBIN,BFSI,Large,Jun 2025,2025-08-08,1.0,125729.0,4.3931313972176955,14.997653410164366
SBI,SBIN,BFSI,Large,Dec 2024,2025-02-06,0.0,124654.0,4.349447794256709,14.86066351785377
SBI,SBIN,BFSI,Large,Sep 2024,2024-11-08,0.0,121045.0,4.202792796036988,14.400759777064048
Tata Motors,TATAMOTORS,Auto,Large,Mar 2025,2025-05-13,1.0,119503.0,4.1401322232315545,14.204258926884565
Tata Motors,TATAMOTORS,Auto,Large,Mar 2024,2024-05-10,0.0,119033.0,4.121033345657914,14.144365671641792
SBI,SBIN,BFSI,Large,Jun 2024,2024-08-03,0.0,118242.0,4.088890341060574,14.043566597392783
SBI,SBIN,BFSI,Large,Mar 2024,2024-05-09,0.0,117469.0,4.057478782838395,13.945061307387114
SBI,SBIN,BFSI,Large,Dec 2023,2024-02-03,1.0,112868.0,3.870512962165372,13.35874456829775
Tata Motors,TATAMOTORS,Auto,Large,Dec 2024,2025-01-29,0.0,112608.0,3.859947625635273,13.325612129227281
Tata Motors,TATAMOTORS,Auto,Large,Dec 2023,2024-02-02,1.0,110577.0,3.7774160929713068,13.066796807103723
SBI,SBIN,BFSI,Large,Sep 2023,2023-11-04,0.0,107391.0,3.647950084567862,12.660796996032495
Tata Motors,TATAMOTORS,Auto,Large,Jun 2024,2024-08-01,0.0,107102.0,3.636206306655559,12.623969015681089
Tata Motors,TATAMOTORS,Auto,Large,Mar 2023,2023-05-12,1.0,105932.0,3.5886622922701132,12.47487303986397
Tata Motors,TATAMOTORS,Auto,Large,Sep 2023,2023-11-02,1.0,105129.0,3.5560316567559997,12.372544776119403
Tata Motors,TATAMOTORS,Auto,Large,Jun 2025,2025-08-08,1.0,104407.0,3.5266925299301093,12.280538541469866
Tata Motors,TATAMOTORS,Auto,Large,Jun 2023,2023-07-25,0.0,102236.0,3.438471969903782,12.003882675231438
SBI,SBIN,BFSI,Large,Jun 2023,2023-08-04,0.0,101460.0,3.4069385039524094,11.904995087851878
Tata Motors,TATAMOTORS,Auto,Large,Sep 2024,2024-11-08,0.0,101450.0,3.406532144855098,11.903720763272247
SBI,SBIN,BFSI,Large,Mar 2023,2023-05-18,0.0,98083.0,3.269711036790315,11.474655677309654
SBI,SBIN,BFSI,Large,Dec 2022,2023-02-03,0.0,91518.0,3.002936289405313,10.638061590780277
Tata Motors,TATAMOTORS,Auto,Large,Dec 2022,2023-01-25,1.0,88489.0,2.879850118829659,10.252068675609296
HDFC Bank,HDFCBANK,BFSI,Large,Jun 2025,2025-07-19,1.0,87372.0,2.834459807659964,10.109726620064235
HDFC Bank,HDFCBANK,BFSI,Large,Mar 2025,2025-04-19,1.0,86779.0,2.810362713189392,10.03415917249197
HDFC Bank,HDFCBANK,BFSI,Large,Dec 2024,2025-01-22,0.0,85040.0,2.7396968661669217,9.812554128093709
SBI,SBIN,BFSI,Large,Sep 2022,2022-11-05,1.0,84463.0,2.7162499462520477,9.739025599848857
HDFC Bank,HDFCBANK,BFSI,Large,Sep 2024,2024-10-19,1.0,83002.0,2.6568808821348373,9.552846778764406
HDFC Bank,HDFCBANK,BFSI,Large,Jun 2024,2024-07-20,0.0,81546.0,2.5977149975662823,9.367305119969771
Tata Motors,TATAMOTORS,Auto,Large,Sep 2022,2022-11-09,0.0,79611.0,2.5190845122365064,9.120723313810693
HDFC Bank,HDFCBANK,BFSI,Large,Mar 2024,2024-04-20,0.0,79434.0,2.511891956214093,9.09816776875118
HDFC Bank,HDFCBANK,BFSI,Large,Dec 2023,2024-01-16,0.0,78008.0,2.4539451489374726,8.916449083695447
SBI,SBIN,BFSI,Large,Jun 2022,2022-08-06,0.0,76781.0,2.4040848876973513,8.76008945777442
HDFC Bank,HDFCBANK,BFSI,Large,Sep 2023,2023-10-16,0.0,75039.0,2.3332971329456873,8.538102116002268
Tata Motors,TATAMOTORS,Auto,Large,Jun 2022,2022-07-27,1.0,71935.0,2.207163269140197,8.142551766484036
Tata Consultancy Services,TCS,IT / Technology,Large,Mar 2025,2025-04-10,0.0,64479.0,1.9041819261847404,7.192415359909314
Tata Consultancy Services,TCS,IT / Technology,Large,Sep 2024,2024-10-10,0.0,64259.0,1.8952420260438874,7.164380219157378
Tata Consultancy Services,TCS,IT / Technology,Large,Dec 2024,2025-01-09,1.0,63973.0,1.8836201558607784,7.12793453617986
Tata Consultancy Services,TCS,IT / Technology,Large,Jun 2025,2025-07-10,0.0,63437.0,1.8618393082448816,7.0596307387115065
Tata Consultancy Services,TCS,IT / Technology,Large,Jun 2024,2024-07-11,1.0,62613.0,1.8283553186264139,6.954626393349708
Tata Consultancy Services,TCS,IT / Technology,Large,Mar 2024,2024-04-12,0.0,61237.0,1.772440306836351,6.77927933119214
Tata Consultancy Services,TCS,IT / Technology,Large,Dec 2023,2024-01-11,1.0,60583.0,1.7458644218721788,6.695938503684111
Tata Consultancy Services,TCS,IT / Technology,Large,Sep 2023,2023-10-11,0.0,59692.0,1.709657826301724,6.582396183638768
Tata Consultancy Services,TCS,IT / Technology,Large,Jun 2023,2023-07-12,1.0,59381.0,1.697020058375336,6.5427646892121665
Tata Consultancy Services,TCS,IT / Technology,Large,Mar 2023,2023-04-12,0.0,59162.0,1.6881207941442142,6.514856980918194
Tata Consultancy Services,TCS,IT / Technology,Large,Dec 2022,2023-01-09,0.0,58229.0,1.650207490365051,6.39596249763839
Tata Consultancy Services,TCS,IT / Technology,Large,Sep 2022,2022-10-10,0.0,55309.0,1.5315506339500922,6.023859720385414
Tata Consultancy Services,TCS,IT / Technology,Large,Jun 2022,2022-07-08,0.0,52758.0,1.4278884282259279,5.698779520120914
HDFC Bank,HDFCBANK,BFSI,Large,Jun 2023,2023-07-17,0.0,51168.0,1.3632773317533988,5.496161911959192
ICICI Bank,ICICIBANK,BFSI,Large,Jun 2025,2025-07-19,1.0,49080.0,1.2784295522347568,5.23008293973172
ICICI Bank,ICICIBANK,BFSI,Large,Mar 2025,2025-04-19,0.0,48387.0,1.2502688667910697,5.1417722463631215
HDFC Bank,HDFCBANK,BFSI,Large,Mar 2023,2023-04-15,0.0,47548.0,1.2161753385266345,5.034856414131872
ICICI Bank,ICICIBANK,BFSI,Large,Dec 2024,2025-01-25,1.0,47037.0,1.1954103886540168,4.969738428112602
ICICI Bank,ICICIBANK,BFSI,Large,Sep 2024,2024-10-26,1.0,46326.0,1.1665182568351689,4.879133950500662
Mahindra & Mahindra,M&M,Auto,Large,Jun 2025,2025-07-30,0.0,45529.0,1.1341314367794422,4.7775702815038725
HDFC Bank,HDFCBANK,BFSI,Large,Dec 2022,2023-01-14,0.0,45002.0,1.112716312351126,4.710413376157189
ICICI Bank,ICICIBANK,BFSI,Large,Jun 2024,2024-07-27,0.0,44582.0,1.0956492302640428,4.656891743812583
ICICI Bank,ICICIBANK,BFSI,Large,Mar 2024,2024-04-27,1.0,42607.0,1.015393308545021,4.40521263933497
Mahindra & Mahindra,M&M,Auto,Large,Mar 2025,2025-05-05,1.0,42599.0,1.0150682212671718,4.404193179671264
Infosys,INFY,IT / Technology,Large,Jun 2025,2025-07-23,0.0,42279.0,1.0020647301532037,4.363414793122993
