feature,pearson_r,n
Net Profit,-0.07520089196969011,584
Sales,-0.07337922200840033,467
OPM %,-0.07092026756535973,467
Profit before tax,-0.06734218914234645,584
Expenses,-0.0538030041059819,584
Interest,-0.04819905774854285,584
Closing Price (T),-0.045243444912480724,584
EPS in Rs,-0.03730750219925229,584
Other Income,-0.033754187464658435,584
Depreciation,-0.03193709270851898,584
Financing Profit,-0.026317732076076426,117
Closing Price (T+1),-0.02547663910959763,584
Revenue,0.022761697682212183,117
3-Day Avg Price Post Result,-0.022115023012828035,584
Closing Price (T+2),-0.020862907894350885,584
Closing Price (T+3),-0.019981843813134722,584
Financing Margin %,-0.0017030940998046338,117
