Company,Ticker,Sector,Cap Category,Period,Result Date,Closing Price (T),Closing Price (T+1),Closing Price (T+2),Closing Price (T+3),EPS in Rs,OPM %,Net Profit,Sales,Revenue,3-Day Return (%),"Movement Label (1,0)"
Emami,EMAMILTD,FMCG,Small,Mar 2024,2024-05-29,523.85,611.85,625.5,634.1,3.41,24.0,147.0,891.0,,19.08,1.0
Zensar Tech,ZENSARTECH,IT / Technology,Small,Mar 2023,2023-05-11,310.25,339.5,384.15,351.65,5.27,14.0,119.0,1213.0,,15.53,1.0
IDFC First Bank,IDFCFIRSTB,BFSI,Small,Jun 2022,2022-07-30,37.55,41.95,43.4,43.15,0.78,,485.0,,4922.0,14.07,1.0
Bajaj Finance,BAJFINANCE,BFSI,Mid,Jun 2022,2022-07-27,6396.35,7076.6,7209.1,7261.0,4.29,,2596.0,,9284.0,12.29,1.0
LIC Housing Finance,LICHSGFIN,BFSI,Small,Jun 2024,2024-02-08,748.45,686.0,652.5,637.2,23.75,,1306.0,,6797.0,-12.01,0.0
Bajaj Auto Ltd,BAJAJ AUTO,Auto,Small,2024-09-01 00:00:00,2024-10-16,11616.95,10119.45,10063.95,10500.5,49.61,16.0,1385.0,13247.0,,-11.96,0.0
Glenmark,GLENMARK,Pharma,Small,Mar 2024,2024-05-24,1036.0,1119.45,1160.2,1180.4,-43.17,16.47,-1214.27,3062.96,,11.33,1.0
AU Small Finance Bank,AUBANK,BFSI,Small,Dec 2023,2024-01-25,707.85,626.35,625.25,636.6,5.61,,375.0,,2736.0,-11.08,0.0
Coforge,COFORGE,IT / Technology,Small,Mar 2024,2024-05-02,4985.7,4482.55,4413.05,4419.15,7.24,17.0,229.0,2318.0,,-10.98,0.0
Persistent Systems,PERSISTENT,IT / Technology,Small,Dec 2022,2023-01-18,3959.6,4258.15,4323.5,4593.15,15.56,19.0,238.0,2169.0,,10.91,1.0
HDFC Bank,HDFCBANK,BFSI,Large,Dec 2023,2024-01-16,1679.15,1537.5,1486.15,1470.65,22.73,,17718.0,,78008.0,-10.78,0.0
Lupin,LUPIN,Pharma,Mid,Dec 2022,2023-02-09,774.35,737.15,675.15,663.0,3.37,12.0,158.0,4322.0,,-10.66,0.0
Marico,MARICO,FMCG,Mid,Mar 2024,2024-05-06,530.3,583.5,595.65,581.35,2.46,19.0,320.0,2278.0,,10.66,1.0
Ashok Leyland,ASHOKLEY,Auto,Small,Mar 2022,2022-05-19,122.9,130.35,135.8,141.2,0.24,12.0,158.0,9927.0,,10.48,1.0
Zensar Tech,ZENSARTECH,IT / Technology,Small,Dec 2024,2025-01-22,750.05,836.9,831.75,817.4,7.04,16.0,160.0,1326.0,,10.48,1.0
Persistent Systems,PERSISTENT,IT / Technology,Small,Sep 2024,2024-10-22,5158.2,5718.75,5691.2,5670.9,21.02,17.0,325.0,2897.0,,10.38,1.0
Emami,EMAMILTD,FMCG,Small,Jun 2023,2023-08-07,459.7,492.55,515.15,514.0,3.14,23.0,137.0,826.0,,10.34,1.0
Coforge,COFORGE,IT / Technology,Small,Dec 2024,2025-01-22,1645.64,1839.29,1846.92,1760.34,6.45,13.0,256.0,3258.0,,10.32,1.0
LTIMindtree,LTIM,IT / Technology,Mid,Dec 2023,2024-01-17,6275.6,5603.0,5652.15,5656.75,39.49,18.0,1169.0,9017.0,,-10.17,0.0
Infosys,INFY,IT / Technology,Large,Mar 2023,2023-04-13,1389.2,1258.3,1259.35,1232.2,14.77,24.0,6134.0,37441.0,,-10.02,0.0
Cipla,CIPLA,Pharma,Large,Jun 2023,2023-07-26,1068.5,1171.45,1177.8,1175.0,12.33,24.0,998.0,6329.0,,9.94,1.0
Wipro,WIPRO,IT / Technology,Mid,Jun 2024,2024-07-19,557.25,505.75,500.55,500.05,2.87,20.0,3037.0,21964.0,,-9.89,0.0
LIC Housing Finance,LICHSGFIN,BFSI,Small,Jun 2023,2023-08-03,394.35,426.65,440.9,432.45,23.98,,1319.0,,6759.0,9.89,1.0
Persistent Systems,PERSISTENT,IT / Technology,Small,Mar 2024,2024-04-21,3884.7,3508.5,3529.05,3466.4,20.47,18.0,315.0,2591.0,,-9.87,0.0
AU Small Finance Bank,AUBANK,BFSI,Small,Mar 2025,2025-04-22,613.8,665.45,681.05,675.15,6.77,,504.0,,4271.0,9.79,1.0
