Sector,Model,Best_CV_F1,CV_F1_Mean,CV_F1_Std,CV_Accuracy_Mean,CV_Accuracy_Std,Best_Params,Data_Points,Features
Pharma,LogisticRegression,0.42351479722323715,0.42351479722323715,0.0876593111017424,0.5731884057971015,0.11635230850026887,"{'model__C': 1, 'model__penalty': 'l2', 'model__solver': 'liblinear'}",117,11
Pharma,RandomForest,0.44233377561550935,0.44233377561550935,0.16345478399823085,0.5644927536231885,0.13882344603971752,"{'model__max_depth': 10, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 200}",117,11
Pharma,XGBoost,0.4439923337756155,0.4561162263948641,0.05689982680812597,0.5554347826086957,0.05102910693176307,"{'model__learning_rate': 0.2, 'model__max_depth': 3, 'model__n_estimators': 50, 'model__subsample': 0.9}",117,11
IT_Technology,LogisticRegression,0.47815789473684217,0.47815789473684217,0.17156522386189216,0.5652173913043479,0.1368011541091502,"{'model__C': 100, 'model__penalty': 'l1', 'model__solver': 'liblinear'}",117,11
IT_Technology,RandomForest,0.5476987924356346,0.5476987924356346,0.07237521722278834,0.5989130434782609,0.036188379678793556,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10, 'model__n_estimators': 50}",117,11
IT_Technology,XGBoost,0.5310544036859826,0.5138345864661653,0.06315001741065046,0.5565217391304348,0.04880422678400795,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 0.8}",117,11
Auto,LogisticRegression,0.5916709423066245,0.5916709423066245,0.040345029404467075,0.5518115942028985,0.032640885882768735,"{'model__C': 1, 'model__penalty': 'l2', 'model__solver': 'liblinear'}",116,11
Auto,RandomForest,0.518820135386852,0.518820135386852,0.07708408958767418,0.4731884057971015,0.11131151848882566,"{'model__max_depth': 5, 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 50}",116,11
Auto,XGBoost,0.5250872783130847,0.5250872783130847,0.0883217603502318,0.472463768115942,0.1094562758753577,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 50, 'model__subsample': 1.0}",116,11
BFSI,LogisticRegression,0.0,0.0,0.0,0.6666666666666667,0.015876016159570024,"{'model__C': 0.01, 'model__penalty': 'l1', 'model__solver': 'liblinear'}",117,8
BFSI,RandomForest,0.2710622710622711,0.2710622710622711,0.14402639744569598,0.6326086956521739,0.03138609830102565,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 100}",117,8
BFSI,XGBoost,0.2504273504273504,0.2504273504273504,0.1533134176053242,0.623550724637681,0.05265977477978019,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 50, 'model__subsample': 1.0}",117,8
FMCG,LogisticRegression,0.46993606138107424,0.46993606138107424,0.09295664079935598,0.5894927536231884,0.05890996836725409,"{'model__C': 0.01, 'model__penalty': 'l2', 'model__solver': 'liblinear'}",117,11
FMCG,RandomForest,0.28956259426847664,0.28956259426847664,0.19294067653455485,0.591304347826087,0.10744815526640432,"{'model__max_depth': 5, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 50}",117,11
FMCG,XGBoost,0.40499999999999997,0.40499999999999997,0.1452583904633395,0.5826086956521739,0.08705911821924439,"{'model__learning_rate': 0.2, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 1.0}",117,11
